<<<<<<< HEAD
编号,名称,主,副,组别,魔力值,精力,物攻,防御,魔攻,魔抗,速度,总和,简介
1361,萤火仙子,翼,无,未发现组,0,86,95,90,100,90,88,549,好久以前的夏夜，会有无数萤火虫飞翔在树林里、小溪边，可是现在已经渐渐看不到它们了。
1362,白灵,冰,翼,未发现组,0,58,55,55,61,58,59,346,干净的冰面像镜子一样，柔软的肚皮贴在上面可以自由自在地滑动，比走路方便多了。
1363,白翼精灵,冰,翼,未发现组,0,85,90,85,95,88,89,532,茫茫雪海中，不熟悉地形的人很容易迷路，每当这时它就会默默出现，在远处为迷路的人指引方向。
1364,白极圣王,冰,翼,未发现组,0,110,115,110,130,115,120,700,白色是一种包含光谱中素有颜色光的颜色，它是包容万象的象征，也是纯洁无瑕的象征。
1365,橙灵,火,武,未发现组,0,49,57,47,53,46,51,303,红与黄的结合，调出了它的颜色；火爆与忧郁的结合，调出了它的性格。
1366,橙光小舞,火,武,未发现组,0,69,77,67,73,66,71,423,阳光下翩翩起舞的美丽身姿，会让人忘记它在舞台背后流下的辛苦汗水。
1367,橙舞战灵,火,武,未发现组,0,89,100,87,93,86,93,548,对动作的奇思妙想，灵活的舞步，以及为了完成更美的舞蹈的态度，是它斗舞不断胜利的三大法宝。
1368,绿灵,草,水,未发现组,0,55,52,56,58,56,57,334,参天大树和低矮灌木和谐共生的森林里，一切都显得那么平和、谦让。
1369,绿萝小妖,草,水,未发现组,0,76,75,80,85,80,82,478,热带雨林中的绿色，不仅是优秀生态环境的代表，还是远古生命的延续。
1370,绿萝魔灵,草,水,未发现组,0,98,96,100,105,108,102,609,绿色代表着一种恬淡，一种宁静，一种包容，更代表着无尽的生命力。
1371,彩嘟嘟,翼,无,未发现组,0,60,52,55,59,62,64,352,虽然喜欢彩色的灯光，可再美的七彩霓虹灯的颜色也不会比我的羽毛的颜色更美丽！
1372,七彩嘟雀,翼,无,未发现组,0,80,72,75,79,82,84,472,就算没有一身彩色的羽毛和高贵的头冠，它的自信心也从来都很爆棚。
1373,小凯尔,火,幽灵,未发现组,0,68,65,55,68,55,58,369,精灵的后裔，高贵的血统让它笼罩着超越年龄的成熟。
1374,焰灵王子,火,幽灵,未发现组,0,88,85,75,88,75,78,489,隐藏在血红色长袍和华丽黑色盔甲下的，是一个久经沙场战士的身躯。
1375,赤焰凯尔撒,火,幽灵,未发现组,0,108,105,95,108,95,98,609,它深邃的眼神和恶毒的表情暗示着很多东西。几个魔法火球漂浮在它身旁，显现着他的心情。
1376,蓝灵,水,无,未发现组,0,50,48,55,54,48,48,303,蓝色不一定全是忧郁的，它也可以是开阔的、晴朗的，像雨后的天空一样。
1377,彩灵,萌,翼,未发现组,0,70,50,60,50,60,60,350,赤橙黄绿青蓝紫，每种颜色都是它编制成的梦境之色。
1378,七色可儿,萌,翼,未发现组,0,95,75,85,75,80,80,490,它的尾巴上七彩颜色，在雨后清洁的天空上，随便涂抹一笔，便成了美丽的彩虹。
1379,七彩圣灵,萌,翼,未发现组,0,120,85,120,90,120,100,635,为了守护翼系精灵王，它无怨无悔地进入沉睡。不知道它的梦境中，是否也是七彩斑斓的彩色。
1380,紫灵,水,毒,未发现组,0,70,55,52,55,54,55,341,拍照的时候最喜欢喊的口号就是茄子，可能因为它的颜色跟茄子一样。
1381,紫晶小傲,水,毒,未发现组,0,90,70,70,75,72,65,442,从小被大家保护得很好，导致了它总是有点盛气凌人，虽然心地还是很善良的。
1382,紫晶傲灵,水,毒,未发现组,0,110,90,85,100,88,75,548,雄赳赳气昂昂，贵族的气质要从平时一点一滴的动作开始培养！
1383,画家小熊,萌,无,未发现组,0,55,50,60,55,60,48,328,习惯用画笔来记录生活中的点点滴滴，抒发心中的情绪。
1384,迷画小熊,萌,无,未发现组,0,75,70,80,75,80,68,448,艺术的境界不光是要靠扎实苦练的技术，更重要的是要有捕捉生活中美的眼睛。
1385,乐动仙女,萌,无,未发现组,0,95,85,110,115,112,98,615,她是音乐的天使，有着天籁般的嗓音，她的歌声充满幸福，总会带给大家美好的希望。
1386,神锤小侠,武,电,未发现组,0,62,58,65,50,65,47,347,别看它个头不大，但是臂弯上的肌肉还是很强健的！未来的健美先生就是它了！
1387,神威钢锤侠,武,电,未发现组,0,80,78,85,70,85,66,464,对外人来说非常重的钢锤，对它不过只是件称手的兵器，挥舞起来不费吹灰之力。
1388,妙尔尼尔,武,电,未发现组,0,102,98,108,92,110,86,596,它手中的神锤是它惩奸除恶的好伙伴，虽然样子有点凶狠，但其实内心是很善良的。
1389,雷霆妙尔尼,武,电,未发现组,0,118,120,130,112,130,93,703,虽然拥有强大的力量，但是热爱生命和和平的它，只会用这股力量来守卫正义和信念。
1390,寒枪小帅,武,冰,未发现组,0,60,70,48,67,47,55,347,标枪最大的难度在于如何把枪扔得很远并且插在地上。看来只能把枪头再磨尖锐一点了！
1391,寒枪护卫,武,冰,未发现组,0,80,92,67,88,64,75,466,用手中的一柄寒枪，守卫中心中最重要的信念，和一路走来的伙伴。
1392,冈尼尔,武,冰,未发现组,0,105,116,88,108,84,96,597,锋利的冈尼尔长矛可以摧毁任何目标，这是它战无不胜的重要法器。
1393,永恒冈尼尔,武,冰,未发现组,0,120,130,106,128,102,116,702,枪身上刻着与古老的神的契约：“持此强者，将统治世界。”
1394,南丁咯咯哒,翼,无,未发现组,0,62,50,56,50,56,54,328,它是大家的急救小卫士，哪里有需要，哪里就有超级有爱心的它！
1395,蛋糕小四,普通,无,未发现组,0,64,56,50,57,52,54,333,生日派对上不可缺少的伙伴！和它一起祝洛克王国4周年生日快乐吧！
1396,巴西球球,普通,无,未发现组,0,60,64,52,60,55,68,359,热情的桑巴舞动出胜利的律动！足球！足球的热情已经被点燃！Ola！巴西必胜！
1397,里奥,翼,无,未发现组,0,68,48,46,79,88,59,388,和伙伴在一起的安全感是连美食都不能替代的。即使有时候像个小跟屁虫也无所谓。
1398,灵羽勇士,翼,无,未发现组,0,84,72,77,102,105,86,526,它的思绪已沉醉在无垠的天际中，这片蓝天便是它魂牵梦绕的地方。
1399,灵羽神卫,翼,无,未发现组,0,108,92,95,120,125,105,645,飞翔在高空之中俯瞰大地，能看到在地面上不一样的风景。
1400,圣羽翼王,翼,无,未发现组,0,120,115,120,130,140,130,755,张开圣洁的羽翼，为同伴抵挡风雨，便是它心中的圣歌。
1401,利刃阿酷,武,电,未发现组,0,63,58,46,64,60,58,349,它的睡前故事一直是各种各样的英雄故事，坚定了它以后也要当个大英雄的信念！
1402,巨剑狂狮,武,电,未发现组,0,85,80,66,84,80,78,473,像雕像一样挺拔的身姿，是王国城堡前一道让人眼前一亮的风景。
1403,雷瓦汀,武,电,未发现组,0,106,100,88,106,100,98,598,魔剑雷瓦汀的拥有者，对于铸造和研究各种剑有着狂热的爱好。
1404,不败雷瓦汀,武,电,未发现组,0,120,118,100,130,120,112,700,王国守卫队的队长，对王国和居民绝对服从和忠诚，是值得信赖的好伙伴。
1405,紫薯卫兵,毒,无,未发现组,0,52,54,46,55,48,56,311,看上去敦厚又可口的样子，其实是个用毒的高手。
1406,紫薯将军,毒,无,未发现组,0,72,74,66,77,68,76,433,好斗的它经常锻炼，使得它品质超群，富含硒等多种微量元素，香甜可口，肉质细腻。
1407,棉花小巴,恶魔,无,未发现组,0,57,50,58,46,57,52,320,棉花糖虽然好吃，可是也不能贪吃啊，不然会长胖胖的！
1408,云中守卫犬,恶魔,无,未发现组,0,77,70,78,66,77,72,440,终于意识到最适合自己的食物应该是骨头，而不是虽然味道很好但完全吃不饱的棉花糖。
1409,云雾犬,恶魔,无,未发现组,0,106,90,108,88,105,99,596,虽然体形笨拙，但还是不妨碍它在云雾中快速穿梭，来无影去无踪。
1410,大力神精灵,萌,无,未发现组,0,92,90,80,90,80,85,517,这是世界杯冠军的最高奖励！它是冠军身份的象征，更是实力的验证！
1411,机械圆仔,机械,无,未发现组,0,77,75,72,58,55,59,396,灵活的动作离不开润滑的机油，就算没有充电，也不能妨碍它敏捷的身手。
1412,机械阿蛮,机械,无,未发现组,0,97,99,95,80,75,79,525,虽然它的外表很彪悍，可是它的内心很温柔。
1413,机械蛮牛,机械,无,未发现组,0,120,120,120,95,90,100,645,跟一般的斗牛一样一见到红色就忍不住想撞上去。
1414,粉兔球,萌,无,未发现组,0,72,58,52,80,78,68,408,抱着的粉钻是它快乐的来源，希望能把这份快乐传递给所有人！
1415,粉钻兔兔,萌,无,未发现组,0,102,88,82,120,102,98,592,不要小看它，它可是粉钻用户专有宠物哦！
1416,奶嘴萌星,水,无,未发现组,0,60,55,51,62,54,58,340,它能够好好读书的重要原因，就是含着奶嘴吸取灵感。
1417,草莓蟹宝宝,水,无,未发现组,0,65,55,65,65,55,55,360,我的家在哪里！
1418,草莓寄居蟹,水,无,未发现组,0,85,75,85,85,75,75,480,终于找到自己的家了~
1419,八爪侍卫,水,武,未发现组,0,60,50,57,61,58,56,342,一直以为脚越多跑得越快，却忘了自己生活在水里一般是不用跑的，游就行了。
1420,八爪将军,水,武,未发现组,0,90,98,94,85,87,85,539,在冰冷的海底，只有在海底火山口旁边才能取暖。
1421,八爪海皇,水,武,未发现组,0,120,130,115,108,116,112,701,体型越来越庞大，远远看去，像一座海底的小山丘一样。
1422,迷糊水母,水,无,未发现组,0,54,59,54,57,56,58,338,放松心情，随着水波随处流浪，也不知哪里是它的归属。
1423,夜光水母,水,无,未发现组,0,76,82,75,79,76,80,468,在晚上的海水中，发出时隐时现的光芒，把海水也变成了夏夜的星空。
1424,斯内克,水,无,未发现组,0,59,58,55,57,54,62,345,吐着信子还是觉得热，一到夏天就是麻烦啊。
1425,长颈斯内克,水,无,未发现组,0,87,86,83,85,82,90,513,伴随着音乐舞动出最美的姿态，这就是音乐的奇妙力量。
1426,嘟嘴豚,水,无,未发现组,0,58,56,57,58,56,52,337,虽然人家很喜欢吃香肠，但人家现在没有在吃香肠！
1427,金冠小豚,水,无,未发现组,0,78,80,85,85,80,75,483,皇冠只是个装饰，为了衬托它那美丽的褐色长发，在流水中展示更美的光泽。
1428,皇冠豚豚,水,无,未发现组,0,108,102,104,106,108,96,624,头上顶了个那么重的皇冠，不把自己吹满气来还真是游不动啊。
1429,烟斗小宝,水,无,未发现组,0,57,58,53,57,56,55,336,小时候一直以为房顶的烟囱是自己的妈妈。
1430,烟斗海员,水,无,未发现组,0,79,80,75,79,78,77,468,希望自己能够像喷出的烟雾一样自由远行。
1431,烟斗船长,水,无,未发现组,0,103,108,99,112,107,101,630,它喷出的烟雾可不是在抽烟哦，而是利用烟雾的喷射来推动自己向前进。
1432,元宝阿蝠,土,无,未发现组,0,56,55,56,56,55,62,340,从小就是理财的一把好手，仿佛是个天生的理财家。
1433,元宝小蝠星,土,无,未发现组,0,68,67,70,68,69,76,418,用自己的魔法能量实现大家的愿望，是它最快乐的事。
1434,板牙小鲨,水,恶魔,未发现组,0,69,66,67,57,64,60,383,新长出来的门牙总觉得怪怪的，只能和它多磨合才能习惯。
1435,铁锚鲨,水,恶魔,未发现组,0,94,91,92,82,89,85,533,力气很大，可以独立拖一艘大船靠岸，还可以潜下水把船矛牢牢地插入海底。
1436,巨魔狂鲨,水,恶魔,未发现组,0,118,120,122,105,115,108,688,强壮的它一直都是海里的游泳健将，在各大游泳比赛中所向披靡，无人能挡。
1437,鲸泡泡,水,无,未发现组,0,45,35,45,45,35,35,240,想变成独角兽！
1438,独角鲸,水,无,未发现组,0,65,55,65,65,55,55,360,头上有犄角，感觉自己萌萌哒。
1439,巨浪独角鲸,水,无,未发现组,0,85,75,85,85,75,75,480,想要飞得更高。
1440,青萌鱼鱼,水,无,未发现组,0,56,55,59,58,60,60,348,萌萌的青色是我的爱，绵绵的青山就是我的家。
1441,碧绿娃娃,水,无,未发现组,0,80,79,83,82,84,84,492,因为一口娃娃音，所以大家都把它当小孩子看。
1442,环宝宝,草,无,未发现组,0,62,64,60,66,62,59,373,对周围环境的要求特别高，喜欢在干净的环境中生活。
1443,环小宝,草,无,未发现组,0,82,84,80,86,82,79,493,参与环保行动要从自身做起，从身边的小事做起。
1444,魔环飞飞,草,无,未发现组,0,102,104,100,106,102,99,613,热衷于环保的它，爱护着洛克王国的每一座山川，每一条河流。对破坏环境的人零容忍！
1445,熊猫宝宝,武,萌,未发现组,0,62,64,58,59,55,57,355,一听到铃声就进入了紧张的备战状态，拳击运动的训练要从小开始！
1446,熊猫拳手,武,萌,未发现组,0,86,88,82,83,79,81,499,作为一个出色的拳手，好的身体素质是必不可少的。
1447,熊猫拳王,武,萌,未发现组,0,107,109,103,104,100,102,625,在擂台上没有最强的拳王，只有不断努力奋进的拳手。
1448,舞会精灵,萌,无,未发现组,0,86,85,90,98,94,85,538,舞蹈的小精灵，在舞台上优美的身姿让人着迷。
1449,微乐乐,普通,无,未发现组,0,75,80,84,82,86,77,484,小伙伴们之间沟通重要的工具，今天你关注我了吗？
1450,暗黑可立鸡,火,无,未发现组,0,45,62,52,69,56,48,332,在天亮的时候打鸣太辛苦了，腹黑的它就改成半夜打鸣，让大家都睡不好。
1451,暗黑晕晕鸡,火,无,未发现组,0,70,87,77,94,81,73,482,练习黑暗火焰魔法的时候不小心把羽毛烧掉了，对自己有点恼火。
1452,暗黑火猴,火,幽灵,未发现组,0,56,60,70,72,70,62,390,不喜欢平行线，因为平行线没有相交。
1453,暗黑云猴,火,幽灵,未发现组,0,78,82,92,94,92,84,522,像是一股幽灵之雾一样，来无影，去无踪。
1454,暗黑大力神,火,幽灵,未发现组,0,118,108,120,125,130,120,721,这世间本来都是平等的，就是多了很多世俗的观念，才导致了不平等！它的出现就是为了打破这种世俗！
1455,暗黑小丸子,幽灵,无,未发现组,0,50,64,56,66,58,55,349,变黑了好像也没减少它对扑克牌的讨厌，因为只是从红桃变成了黑桃。
1456,黑桃小丁,幽灵,无,未发现组,0,72,86,78,88,80,77,481,样子越来越凶悍了，可是大家还是喜欢把它看做夜光扑克牌。
1457,暗黑多哥,幽灵,无,未发现组,0,58,62,58,75,58,80,391,尖尖的獠牙最近痒痒的，让它总是想咬点什么。
1458,幽龙守卫,龙,幽灵,未发现组,0,64,78,60,65,60,54,381,守护者龙族黑暗的秘密，它时刻都小心翼翼。
1459,幽龙使者,龙,幽灵,未发现组,0,86,100,90,80,70,76,502,顶着世人不能理解的误会，执意守护心中的秘密。
1460,幽冥战龙,龙,幽灵,未发现组,0,112,138,110,100,90,90,640,飞翔在黑夜中，凝视着陆地上的珍宝，守护着它的净土。
1461,蘑菇信差,草,幽灵,未发现组,0,66,52,67,58,64,72,379,别看个子小，腿脚可很麻利，在森林里一天跑5圈不费劲。
1462,草菇探员,草,幽灵,未发现组,0,88,74,89,80,86,94,511,森林里的包打听，哪里有小道消息，哪里就有它的身影。
1463,仙草蘑灵,草,幽灵,未发现组,0,108,96,102,97,108,130,641,它是森林里的小精灵，森林里的各个角落都有它的身影。
1464,九灵小子,幽灵,无,未发现组,0,70,52,49,72,84,62,389,虽然住在总是黑夜的幽冥河畔，却总是向往飞上九重天，成为黑夜与白天的精灵。
1465,冥暗使者,幽灵,无,未发现组,0,84,64,86,102,105,74,515,它是为世人带来黑暗的使者，由于世人对黑暗的恐惧，这项使命让它并不快乐。
1466,冥暗领主,幽灵,无,未发现组,0,106,94,109,116,110,92,627,黑暗并不意味着恐怖，它只是白昼的反面，任何事物都有黑和白两面，只不过很多人不敢面对黑暗面。
1467,冥暗幽王,幽灵,无,未发现组,0,120,108,130,140,130,120,748,幽冥之地的王者，俾睨众生，却不屑点破众人心中的阴暗面。
1468,暗黑陶陶,幽灵,无,未发现组,0,62,54,52,72,54,72,366,白天睡大觉，晚上才有精神出来找黑暗中的小伙伴玩耍。
1469,黑脸南瓜,恶魔,无,未发现组,0,62,54,50,54,62,53,335,炸弹玩得太过火了，把自己都炸黑了。
1470,抱瓜小子,恶魔,无,未发现组,0,82,78,70,70,82,73,455,听说吃南瓜可以美容，正好美美它这张被炸黑了的脸。
1471,魔瓜头领,恶魔,无,未发现组,0,102,106,84,86,94,88,560,把炸弹和南瓜完美地结合在一起，这样就可以两者兼得了！
1472,波小赛,水,幽灵,未发现组,0,58,57,56,62,68,59,360,在水中汲取能量，在水中安睡，在水中感受每一天。
1473,灵水波尔,水,幽灵,未发现组,0,78,77,76,82,88,79,480,海洋是片宽广的自由境地，让它可以随心所欲地游弋。
1474,惊涛波塞尔,水,幽灵,未发现组,0,102,101,100,114,106,103,626,凛冽的海风是它的武器，咆哮的巨浪是它的帮手，这狂怒的大海，谁敢来挑战它的权威？
1475,蹄小兵,幽灵,无,未发现组,0,55,59,60,52,58,48,332,有力的后蹄是它的防身武器，被它踢一脚可要痛上好几天呢。
1476,幽影武士,幽灵,无,未发现组,0,75,79,80,82,78,68,462,武士的斗魂就是在不断竞技之中提升自己的能力！面对强大的对手不要害怕，而是要兴奋！
1477,镰刀使者,幽灵,无,未发现组,0,59,52,55,62,54,62,344,锐利的刀锋如同它犀利的眼神。
1478,幽魅恶法,幽灵,无,未发现组,0,79,72,75,82,74,82,464,挥舞着如同死神一般的镰刀，收割着对手的恐惧。
1479,幽幽果,草,无,未发现组,0,62,57,55,58,60,54,346,在一团果冻里飘来飘去，人生都变得甜美了！
1480,暗夜宝宝,幽灵,恶魔,未发现组,0,66,62,66,47,65,48,354,每次玩天黑请闭眼的时候总被人怀疑是不是没有闭眼，它也不想眼睛一直发光啊！
1481,暗夜精灵,幽灵,恶魔,未发现组,0,86,82,86,67,85,68,474,虽然它总强调自己骑的是矮脚马，是马的一个品种，可是大家也总习惯说它骑的可能是头驴。
1482,暗夜战士,幽灵,恶魔,未发现组,0,106,102,106,84,105,88,591,威风凛凛地坐在高头大马上，终于可以扬眉吐气了。
1483,暗夜骑士,幽灵,恶魔,未发现组,0,126,122,126,107,125,108,714,有人说骑士是最低层的贵族，可是它却只想成为最高贵的战士！
1484,贪睡小蛇,毒,无,未发现组,0,56,73,52,49,42,65,337,春天要春眠，夏天要避暑，秋天总睡不够，冬天的冬眠也必不可少。
1485,食梦蛇,毒,无,未发现组,0,74,91,74,67,64,87,457,它的食量便是大家的噩梦，所以有些小洛克会把它的徽章放在床头，希望它吞噬噩梦，留下美梦。
1486,噬梦蛇王,毒,无,未发现组,0,92,115,91,84,80,116,578,拥有解除催眠的能力，是对抗幻术的好帮手。
1487,幽冰小主,幽灵,无,未发现组,0,54,48,46,64,50,59,321,你们想玩打雪仗吗？我可以在夏天变出冰和雪让大家一起玩哦！
1488,幽蓝可儿,幽灵,无,未发现组,0,74,68,66,84,70,79,441,冰冻的能力太强，开始有点让大家望而生畏。
1489,幽灵冰姬,幽灵,无,未发现组,0,94,88,86,116,90,106,580,在心房前筑起厚厚的冰墙，不再相信出了冰和雪以外的任何人和事。
1490,幽影镜,幽灵,无,未发现组,0,54,52,59,62,60,58,345,虽然它长得很魅惑，但它真的不是白雪公主里的魔镜，你问不出个所以然来的。
1491,赤焰宝宝,火,无,未发现组,0,66,60,55,76,74,68,399,从小就是个安静的孩子，身上散发出的冷静让它的颜色都失了色。
1492,魔焰侍者,火,无,未发现组,0,87,81,76,97,95,89,525,在它看来，它自己就是公理，它就是制度，一切违抗它的人，都是大逆不道。
1493,厉焰尊者,火,无,未发现组,0,110,103,95,120,110,110,648,威严的它从来都不苟言笑，仿佛冷酷能让它更受人尊敬。
1494,火魔,神火,无,未发现组,0,148,88,140,150,135,130,791,火，是它愤怒的眼神！火，是它反抗一切教条和桎梏的决心！
1495,扭扭,萌,无,未发现组,0,60,50,55,62,58,56,341,投币就能扭出人见人爱的扭蛋哦！快来扭扭我吧！
1496,黄冠小Q,普通,无,未发现组,0,77,74,66,67,68,74,426,黄钻闪亮亮，快来和我做朋友吧！
1497,瓢小炮,虫,无,未发现组,0,55,59,48,60,52,58,332,这个小炮是爸爸送给它的生日礼物，不是个真炮，只是个打火机而已。
1498,瓢虫小队长,虫,无,未发现组,0,75,79,68,80,72,78,452,负责任的小队长，经常飞到这飞到那调解虫虫们之间问题。
1499,炮塔瓢虫,虫,无,未发现组,0,99,106,92,108,96,102,603,后防线上坚强的后盾，作为移动炮塔在阵线的各处都很有用处。
1500,艾米,光,无,未发现组,0,88,100,84,120,90,108,590,它是善良的天使，用善良的爱心，像是夜空中最亮的星星一样照亮这世上所有的地方。
1501,友爱天天,普通,无,未发现组,0,60,58,50,55,52,53,328,想要在所有小洛克之间都播下友谊的种子。
1502,友爱星飞,普通,无,未发现组,0,80,78,70,75,72,73,448,洛克王国是我们温暖的家，快带上你的小伙伴一起来这里定居吧！
1503,友谊天使,普通,无,未发现组,0,100,100,84,100,88,88,560,大家都要珍惜好身边每个伙伴，让友谊长存！
1504,小巴哥,土,无,未发现组,0,56,55,46,52,48,53,310,穿上打着补丁的衣服，加上泪汪汪的眼睛，伪装成世界上最可怜的小狗。
1505,巴哥大,土,无,未发现组,0,76,75,66,72,68,73,430,从小就有一股不知哪里来的优越感，欺软怕硬，打不过别人就装可怜。
1506,超人鸭吉吉,翼,无,未发现组,0,118,121,105,120,111,130,705,鸭吉吉，真勇敢，穿斗篷，到处飞，路见不平就出手，不再自私好朋友。
1507,萌蛋考拉,萌,无,未发现组,0,58,52,54,57,56,54,331,在树上最有安全感了，可是安全感用来干嘛呢？
1508,瞌睡懒宝,萌,无,未发现组,0,78,72,74,77,76,74,451,一天24小时里面，有20个小时是在睡觉，3个小时在打瞌睡。
1509,河墩墩,冰,无,未发现组,0,57,58,50,57,62,53,337,想蹲在水里躲起来，却发现因为自己太胖，躲在哪里都显得水很浅。
1510,黑白河马,冰,无,未发现组,0,77,78,70,77,82,73,457,平时很低调，看起来很老实，可张开大口的时候时候非常凶猛，没人能承受得了被它咬一口。
1511,红心小丽,翼,萌,未发现组,0,50,48,57,60,56,64,335,每天都在寻找让自己皮肤变得更光滑的秘方，不过有个后遗症就是毛发变少了。
1512,红心爱丽,翼,萌,未发现组,0,70,68,77,80,76,84,455,终于使用生发剂让羽毛多长出来了一些，可是体型却有点开始变宽了。
1513,优雅雀姬,翼,萌,未发现组,0,90,88,97,100,96,104,575,终于认清了只有公孔雀才有美丽的尾巴这个事实，所以它买了一副足以以假乱真的雀屏背在身上。
1514,红桃雀后,翼,萌,未发现组,0,108,108,118,126,108,130,698,魔法才能带来华丽的变身！自信才是最美丽的！
1515,小螂,草,无,未发现组,0,57,58,56,52,58,55,336,为了长身体，只能把害虫们都吃掉了！
1516,兵螂,草,无,未发现组,0,77,78,76,72,78,75,456,抱着无所谓的态度耸肩，耸着耸着肩膀都不能还原了。
1517,飞天刀螂,草,无,未发现组,0,97,106,96,92,98,95,584,虚空的掠夺者，擅长把对手都变成纸片，然后轻易地撕碎它们！
1518,喵闹闹,毒,火,未发现组,0,52,62,48,60,50,56,328,水汪汪的大眼睛让人看了就心疼，可惜这只是它骗人的小伎俩而已。
1519,街头厉猫,毒,火,未发现组,0,72,82,68,80,70,76,448,药药药！切克闹！炫酷街舞来一套！一边是火焰，一边是掌声，大家一起来热闹！
1520,妖焰汤姆,毒,火,未发现组,0,97,108,92,108,90,101,596,经过岁月的沉淀，它已褪去了幼时的青涩，成长为眼神犀利到没朋友的法师。
1521,啾啾驴,恶魔,无,未发现组,0,55,54,52,52,54,50,317,由于小时候脑袋被其他驴子踢了一下，所以一直都傻傻的。
1522,霍少,恶魔,无,未发现组,0,75,74,72,72,74,70,437,虽然更傻了，但是它也更开心了，成了大家的开心果。
1523,冰稚鸟,冰,翼,未发现组,0,56,58,64,72,70,62,382,它是善良而神秘的，召唤可怕的冰雪只为对付那些伤害它家园的人。
1524,冰凌魔雉,冰,翼,未发现组,0,78,80,86,94,92,84,514,传说当它死亡的时候，一个时代将会终结；而它重生之时，全新的时代将会开启。
1525,魔晶凤凰,冰,翼,未发现组,0,108,108,115,130,120,120,701,它是寒风的化身，凛冬的主宰，雪与风的完美结合。
1526,浮灵妖,恶魔,翼,未发现组,0,56,72,60,86,62,78,414,用巫术让自己悬浮起来突然降落，是让别人在大夏天也能吓出一身冷汗的好玩法。
1527,飞爪幻妖,恶魔,翼,未发现组,0,76,92,80,106,82,98,534,只有善良的人才能看见它的大翅膀，虽然这个翅膀长得并不那么友善。
1528,万灵巫妖,恶魔,翼,未发现组,0,96,112,100,126,102,118,654,巫术并不是有好有坏的，而是看它是被好人还是坏人使用。
1529,特罗,土,无,未发现组,0,54,64,46,52,50,59,325,在沼泽地出生后，就没有离开过这片……呃……荒芜的无聊之地。
1530,泥浆特罗,土,无,未发现组,0,74,84,66,72,70,80,446,反应迟钝，走路非常缓慢，整天跟没睡醒似的。慢~慢~悠~~~~悠~~~~~
1531,噜比,石,无,未发现组,0,56,54,60,50,58,50,328,为了锻炼挖洞的能力，把家里的木地板都挖坏了，还真是敬业。
1532,吉比噜比,石,无,未发现组,0,76,74,80,70,78,70,448,它们做着明星梦，希望有一天能遇见欣赏它们的导演。
1533,幽灵叽叽,幽灵,无,未发现组,0,62,56,58,57,55,54,342,老鼠，老虎，傻傻分不清楚。天生一副让想揍又想抱的脸。
1534,惊吓柯柯,机械,无,未发现组,0,56,57,58,52,60,54,337,因为一直待在机械工厂里，所以对外面的世界很陌生，见到什么都一惊一乍的。
1535,肉肠柯柯,机械,无,未发现组,0,76,77,78,72,80,74,457,每次一闻到肉肠的香味就会奋不顾身的扑过去，也不管自己其实是个机械狗，不能吃肉。
1536,机械柯基,机械,无,未发现组,0,98,99,100,94,102,96,589,幻想着自己有一天能飞起来，装上机械竹蜻蜓以后，还真的就能飞了。
1537,持剑小王子,武,无,未发现组,0,70,60,60,32,60,42,324,小小年纪就开始持剑闯天涯，结实了很多给力的伙伴。
1538,执剑酷卫,武,无,未发现组,0,90,80,80,52,80,62,444,你因何执剑？手中有剑，方能保护自己珍惜之人。
1539,仗剑奎斯,武,无,未发现组,0,110,100,100,72,100,82,564,仗剑天下，行侠仗义，以天下苍生为己任。
1540,王者奎托斯,武,无,未发现组,0,130,130,120,92,120,108,700,王者之风，真龙之气。天子守国门，君王死社稷。
1541,小梦梦,幽灵,无,未发现组,0,60,58,52,56,53,50,329,飞在天空中的幽灵，身着盔甲也不妨碍它的速度。
1542,魂斗梦魇,幽灵,无,未发现组,0,80,78,72,76,73,70,449,擅长使用幻术，让人进入梦境，再趁机干掉敌人！
1543,双头小帅,冰,火,未发现组,0,54,80,58,80,59,60,391,一半海水一半火焰，性格冲突让两个头之间经常吵架。
1544,双头酷龙,冰,火,未发现组,0,79,105,83,105,84,85,541,两个头在很多时候都会意见不一致，这让它们觉得都快精神分裂了。
1545,双生维洛司,冰,火,未发现组,0,108,132,102,132,103,120,697,分裂分裂！分裂我的灵魂！分裂分裂，我的魔法也要分裂！一半寒冰一半火焰！
1546,称重狮,武,无,未发现组,0,60,58,55,49,58,52,332,虽然它是狮子座，可是无论何时何地对平衡都十分纠结，让人以为它其实是天秤座。
1547,天平狮,武,无,未发现组,0,80,78,75,69,78,72,452,对两件事情在权衡上的纠结已经到达不可思议的地步！莫非它其实是处女座？
1548,正义之狮,武,无,未发现组,0,102,108,97,91,100,94,592,天平意味着公平，强烈的正义感让它愿意为世间的不公平暴走，赏善罚恶。
1549,恶灵乘务员,恶魔,无,未发现组,0,57,62,58,54,55,60,346,在狭小的列车车厢里，它就是这里称王称霸的恶棍。
1550,恶灵驾驶员,恶魔,无,未发现组,0,77,82,78,74,75,80,466,不喜欢龟速，只喜欢开着车狂奔！它就是危险的铁路杀手！
1551,恶灵列车长,恶魔,无,未发现组,0,100,105,101,97,98,103,604,它要让全世界都知道，这趟火车它已经承包了！
1552,树桩芽芽,草,无,未发现组,0,56,50,60,46,58,55,325,从小就是一棵孤独的树，没有人教它说话，现在还不会说话，只能发出一点声音。
